"","ENCFF012JXJ","ENCFF014RBU","ENCFF027VZK","ENCFF030NYG","ENCFF048JKT","ENCFF066XDW","ENCFF083KVY","ENCFF100ERQ","ENCFF103IOJ","ENCFF116EXQ","ENCFF127GYQ","ENCFF166OZW","ENCFF195PBG","ENCFF199FYD","ENCFF199WGD","ENCFF215YWS","ENCFF261ZWR","ENCFF303TVZ","ENCFF305ICK","ENCFF306SRV","ENCFF328QLX","ENCFF332PGQ","ENCFF339KUO","ENCFF341HWZ","ENCFF372DRC","ENCFF391DVL","ENCFF394DLH","ENCFF414JLN","ENCFF433PFN","ENCFF455YHJ","ENCFF461FGJ","ENCFF490VYC","ENCFF492YMU","ENCFF534CKB","ENCFF556JBS","ENCFF556PIY","ENCFF557HJB","ENCFF609KOY","ENCFF632MBO","ENCFF677KJB","ENCFF689AXJ","ENCFF710VEH","ENCFF711OSR","ENCFF721SDD","ENCFF761MGJ","ENCFF807AKG","ENCFF817QHW","ENCFF833FTF","ENCFF868VSY","ENCFF909FRA","ENCFF931XAL","ENCFF939TZS","ENCFF967ACD","ENCFF976ZVG"
"-230","0.6920127","0.5016911","0.5427442","0.6268896","0.6656732","0.7572684","0.7609398","0.6412126","0.6380517","0.5038740","0.3341781","0.5441109","0.7181236","0.6102536","0.7203746","0.6491462","0.5113858","0.7658689","0.4169776","0.4956037","0.4823316","0.7206101","0.6223012","0.7855050","0.6957599","0.5171968","0.6008363","0.7860870","0.7760601","0.4381129","0.6814429","0.6103902","0.6239567","0.5824312","0.7663462","0.5745679","0.7756738","0.5250008","0.5864968","0.6446128","0.4170816","0.5351929","0.7781136","0.4918333","0.5822680","0.6296042","0.7750050","0.5288306","0.5354519","0.4912906","0.8182523","0.3917957","0.6540361","0.7942736"
"-229","0.6924663","0.5031003","0.5434551","0.6271430","0.6663745","0.7574327","0.7613780","0.6412126","0.6380517","0.5041280","0.3341781","0.5440647","0.7187435","0.6104246","0.7194059","0.6491462","0.5116397","0.7658689","0.4178068","0.4956494","0.4816240","0.7209230","0.6230632","0.7866771","0.6978474","0.5180578","0.6007654","0.7852174","0.7762809","0.4375828","0.6814429","0.6104392","0.6248446","0.5822201","0.7675824","0.5749699","0.7772196","0.5255902","0.5865853","0.6449219","0.4166289","0.5356283","0.7781136","0.4923559","0.5818557","0.6301713","0.7759952","0.5288796","0.5362509","0.4904757","0.8192211","0.3918543","0.6544139","0.7953340"
"-228","0.6926312","0.5035231","0.5438994","0.6279030","0.6660238","0.7577612","0.7609398","0.6396777","0.6377826","0.5037470","0.3338678","0.5446651","0.7197768","0.6105101","0.7197288","0.6494130","0.5122323","0.7648283","0.4181177","0.4958321","0.4807837","0.7207665","0.6236982","0.7876538","0.6986301","0.5191339","0.6014032","0.7878261","0.7762809","0.4381129","0.6818774","0.6098027","0.6252886","0.5828835","0.7685440","0.5756398","0.7775094","0.5258522","0.5869392","0.6449219","0.4172325","0.5359492","0.7782726","0.4922253","0.5814433","0.6307086","0.7759952","0.5291248","0.5367406","0.4903229","0.8198024","0.3918250","0.6543600","0.7963945"
"-227","0.6929611","0.5050733","0.5444326","0.6288320","0.6663745","0.7578844","0.7615423","0.6396777","0.6380517","0.5034930","0.3338678","0.5444804","0.7195702","0.6112798","0.7200517","0.6502134","0.5115551","0.7669095","0.4173922","0.4956037","0.4810490","0.7212358","0.6238252","0.7886306","0.7001957","0.5190909","0.6018521","0.7860870","0.7769435","0.4381129","0.6818774","0.6099985","0.6259101","0.5836374","0.7686813","0.5763098","0.7779925","0.5263434","0.5872932","0.6456949","0.4172325","0.5360638","0.7784317","0.4922253","0.5806186","0.6307982","0.7760943","0.5290022","0.5365344","0.4906794","0.8190273","0.3918250","0.6548188","0.7968187"
"-226","0.6940745","0.5052142","0.5447436","0.6294232","0.6677770","0.7574737","0.7621447","0.6389102","0.6388590","0.5032389","0.3338678","0.5451732","0.7206034","0.6115363","0.7210203","0.6491462","0.5119783","0.7653486","0.4169776","0.4957407","0.4811817","0.7220180","0.6236982","0.7874585","0.7008480","0.5201240","0.6018521","0.7878261","0.7776060","0.4389080","0.6831812","0.6102434","0.6257326","0.5843913","0.7697802","0.5765778","0.7783789","0.5267690","0.5872932","0.6463132","0.4182888","0.5362013","0.7782726","0.4927479","0.5806186","0.6310370","0.7764904","0.5289777","0.5368953","0.4905266","0.8190273","0.3920885","0.6550077","0.7966066"
"-225","0.6943631","0.5050733","0.5448325","0.6300144","0.6681276","0.7568988","0.7630210","0.6396777","0.6372443","0.5041280","0.3346954","0.5458199","0.7203968","0.6115791","0.7213432","0.6494130","0.5124862","0.7663892","0.4171849","0.4959463","0.4813144","0.7224091","0.6239099","0.7880445","0.7012394","0.5202962","0.6024663","0.7878261","0.7780477","0.4386430","0.6840504","0.6098027","0.6259989","0.5845421","0.7708791","0.5780517","0.7786687","0.5275549","0.5878241","0.6460040","0.4176852","0.5360638","0.7789089","0.4928786","0.5818557","0.6312459","0.7770846","0.5294435","0.5367149","0.4899664","0.8199961","0.3915908","0.6553855","0.7976670"
"-224","0.6948992","0.5057779","0.5457211","0.6303522","0.6691795","0.7575969","0.7632400","0.6404451","0.6369752","0.5043821","0.3347471","0.5461432","0.7203968","0.6118356","0.7210203","0.6488794","0.5127402","0.7684703","0.4172886","0.4966086","0.4817124","0.7229566","0.6248412","0.7882399","0.7005871","0.5210710","0.6028443","0.7852174","0.7791519","0.4402332","0.6836158","0.6094110","0.6264429","0.5855372","0.7711538","0.5791237","0.7795382","0.5279151","0.5880895","0.6473953","0.4185906","0.5360638","0.7795451","0.4930093","0.5826804","0.6313354","0.7780749","0.5296151","0.5367664","0.4900682","0.8213525","0.3922642","0.6563841","0.7985154"
"-223","0.6958064","0.5066234","0.5458100","0.6305211","0.6693548","0.7577201","0.7637877","0.6419800","0.6375135","0.5046361","0.3352126","0.5456813","0.7201901","0.6127763","0.7216661","0.6502134","0.5126555","0.7679501","0.4167703","0.4969740","0.4815355","0.7225655","0.6254339","0.7884352","0.7013699","0.5208127","0.6038364","0.7869565","0.7798145","0.4407633","0.6849196","0.6090192","0.6268869","0.5855372","0.7712912","0.5788557","0.7801179","0.5281443","0.5881780","0.6469315","0.4191942","0.5362930","0.7793860","0.4934013","0.5814433","0.6321115","0.7786690","0.5300319","0.5372561","0.4904757","0.8227088","0.3922057","0.6566000","0.7985154"
"-222","0.6958476","0.5071871","0.5460322","0.6305211","0.6686536","0.7587878","0.7637877","0.6423638","0.6383208","0.5056522","0.3355746","0.5455427","0.7206034","0.6129046","0.7219890","0.6502134","0.5130788","0.7695109","0.4172886","0.4971339","0.4815798","0.7230348","0.6261113","0.7886306","0.7017613","0.5212862","0.6042617","0.7904348","0.7793728","0.4391731","0.6879618","0.6094110","0.6270645","0.5860197","0.7717033","0.5793917","0.7806009","0.5279806","0.5887090","0.6477044","0.4191942","0.5367285","0.7806585","0.4930093","0.5810309","0.6324996","0.7786690","0.5306693","0.5375396","0.4905776","0.8229025","0.3922349","0.6568429","0.7987275"
"-221","0.6962599","0.5077508","0.5462988","0.6312811","0.6691795","0.7593627","0.7643354","0.6431312","0.6380517","0.5059063","0.3350057","0.5457737","0.7206034","0.6138025","0.7216661","0.6494130","0.5121476","0.7695109","0.4189469","0.4976591","0.4820663","0.7239734","0.6269156","0.7886306","0.7025440","0.5210710","0.6043561","0.7913043","0.7800353","0.4391731","0.6892655","0.6100965","0.6265317","0.5868942","0.7714286","0.5807316","0.7809873","0.5287338","0.5895054","0.6478590","0.4188924","0.5368202","0.7816129","0.4926173","0.5826804","0.6325593","0.7794613","0.5313312","0.5382097","0.4909341","0.8236776","0.3924106","0.6571398","0.7987275"
